2022-06-21 00:34:44.431 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on CharArtPav-Laptop with PID 6368 (E:\Project_on_Java\Microservice\authentication\target\classes started by Artem in E:\Project_on_Java\Microservice\authentication)
2022-06-21 00:34:44.432 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-21 00:34:49.982 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 6.006 seconds (JVM running for 6.687)
2022-06-21 15:09:08.190 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 3136 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-21 15:09:08.191 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-21 15:09:11.650 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 3.702 seconds (JVM running for 4.199)
2022-06-21 15:09:40.556 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 18404 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-21 15:09:40.557 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-21 15:09:43.242 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 2.915 seconds (JVM running for 3.262)
2022-06-21 15:11:15.031 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 1864 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
2022-06-21 15:11:15.032 [main] INFO  c.c.converter.auth.AuthenticationApplication - No active profile set, falling back to 1 default profile: "default"
2022-06-21 15:11:17.614 [main] INFO  c.c.converter.auth.AuthenticationApplication - Started AuthenticationApplication in 2.8 seconds (JVM running for 3.153)
2022-06-21 15:15:14.942 [main] INFO  c.c.converter.auth.AuthenticationApplication - Starting AuthenticationApplication using Java 18 on kftnb-77 with PID 21516 (D:\Project_on_Java\Microservice\authentication\target\classes started by a.charykov in D:\Project_on_Java\Microservice\authentication)
